locus_tag	ftype	length_bp	gene	EC_number	COG	product
Sample_Maccabi_Ecoli_SeqPlate10_A12_00138	CDS	900	yfeX	1.11.1.-	COG2837	Dye-decolorizing peroxidase YfeX
Sample_Maccabi_Ecoli_SeqPlate10_A12_00139	CDS	1425	murP		COG2190	PTS system N-acetylmuramic acid-specific EIIBC component
Sample_Maccabi_Ecoli_SeqPlate10_A12_00140	CDS	897	murQ	4.2.1.126	COG2103	N-acetylmuramic acid 6-phosphate etherase
Sample_Maccabi_Ecoli_SeqPlate10_A12_00141	CDS	792	ucpA	1.-.-.-		Oxidoreductase UcpA
Sample_Maccabi_Ecoli_SeqPlate10_A12_00142	CDS	1017	cysP		COG4150	Thiosulfate-binding protein
Sample_Maccabi_Ecoli_SeqPlate10_A12_00143	CDS	834	cysT		COG0555	Sulfate transport system permease protein CysT
Sample_Maccabi_Ecoli_SeqPlate10_A12_00144	CDS	876	cysW_1		COG4208	Sulfate transport system permease protein CysW
Sample_Maccabi_Ecoli_SeqPlate10_A12_00145	CDS	1098	cysA_1	7.3.2.3	COG1118	Sulfate/thiosulfate import ATP-binding protein CysA
Sample_Maccabi_Ecoli_SeqPlate10_A12_00146	CDS	912	cysM	2.5.1.47	COG0031	Cysteine synthase B
Sample_Maccabi_Ecoli_SeqPlate10_A12_00147	CDS	369				hypothetical protein
Sample_Maccabi_Ecoli_SeqPlate10_A12_00148	CDS	852	pdxK	2.7.1.35	COG2240	Pyridoxine/pyridoxal/pyridoxamine kinase
Sample_Maccabi_Ecoli_SeqPlate10_A12_00149	CDS	510	crr		COG2190	PTS system glucose-specific EIIA component
Sample_Maccabi_Ecoli_SeqPlate10_A12_00150	CDS	1728	ptsI_1	2.7.3.9	COG1080	Phosphoenolpyruvate-protein phosphotransferase
Sample_Maccabi_Ecoli_SeqPlate10_A12_00151	CDS	258	ptsH_1		COG1925	Phosphocarrier protein HPr
Sample_Maccabi_Ecoli_SeqPlate10_A12_00152	CDS	972	cysK	2.5.1.47	COG0031	Cysteine synthase A
Sample_Maccabi_Ecoli_SeqPlate10_A12_00153	CDS	762	cysZ		COG2981	Sulfate transporter CysZ
Sample_Maccabi_Ecoli_SeqPlate10_A12_00154	CDS	999	zipA		COG3115	Cell division protein ZipA
Sample_Maccabi_Ecoli_SeqPlate10_A12_00155	CDS	2016		6.5.1.2		DNA ligase
Sample_Maccabi_Ecoli_SeqPlate10_A12_00156	CDS	219				hypothetical protein
Sample_Maccabi_Ecoli_SeqPlate10_A12_00157	CDS	999				hypothetical protein
Sample_Maccabi_Ecoli_SeqPlate10_A12_00158	CDS	927	cynR_1			HTH-type transcriptional regulator CynR
Sample_Maccabi_Ecoli_SeqPlate10_A12_00159	CDS	765				hypothetical protein
Sample_Maccabi_Ecoli_SeqPlate10_A12_00160	CDS	834	xapA	2.4.2.1	COG0005	Purine nucleoside phosphorylase 2
Sample_Maccabi_Ecoli_SeqPlate10_A12_00161	CDS	1257	xapB			Xanthosine permease
Sample_Maccabi_Ecoli_SeqPlate10_A12_00162	CDS	885	hcaR_1			Hca operon transcriptional activator HcaR
Sample_Maccabi_Ecoli_SeqPlate10_A12_00163	tRNA	76				tRNA-Lys(ttt)
Sample_Maccabi_Ecoli_SeqPlate10_A12_00164	tRNA	76				tRNA-Val(tac)
Sample_Maccabi_Ecoli_SeqPlate10_A12_00165	tRNA	76				tRNA-Val(tac)
Sample_Maccabi_Ecoli_SeqPlate10_A12_00166	CDS	1416	gltX	6.1.1.17	COG0008	Glutamate--tRNA ligase
Sample_Maccabi_Ecoli_SeqPlate10_A12_00167	CDS	372				hypothetical protein
Sample_Maccabi_Ecoli_SeqPlate10_A12_00168	CDS	360				hypothetical protein
Sample_Maccabi_Ecoli_SeqPlate10_A12_00169	tRNA	76				tRNA-Ala(ggc)
Sample_Maccabi_Ecoli_SeqPlate10_A12_00170	tRNA	76				tRNA-Ala(ggc)
Sample_Maccabi_Ecoli_SeqPlate10_A12_00171	CDS	2190	pdeA	3.1.4.52		putative cyclic di-GMP phosphodiesterase PdeA
Sample_Maccabi_Ecoli_SeqPlate10_A12_00172	CDS	1203	nupC		COG1972	Nucleoside permease NupC
Sample_Maccabi_Ecoli_SeqPlate10_A12_00173	CDS	1239	mntH		COG1914	Divalent metal cation transporter MntH
Sample_Maccabi_Ecoli_SeqPlate10_A12_00174	CDS	327				hypothetical protein
Sample_Maccabi_Ecoli_SeqPlate10_A12_00175	CDS	1257	yfeO			Putative ion-transport protein YfeO
Sample_Maccabi_Ecoli_SeqPlate10_A12_00176	CDS	966	glk	2.7.1.2	COG0837	Glucokinase
Sample_Maccabi_Ecoli_SeqPlate10_A12_00177	CDS	327	fryB_1	2.7.1.202	COG1445	PTS system fructose-like EIIB component 1
Sample_Maccabi_Ecoli_SeqPlate10_A12_00178	CDS	1248	fryC		COG1299	Fructose-like permease IIC component 1
Sample_Maccabi_Ecoli_SeqPlate10_A12_00179	CDS	1086	ypdF	3.4.11.-	COG0006	Aminopeptidase YpdF
Sample_Maccabi_Ecoli_SeqPlate10_A12_00180	CDS	1038	ypdE	3.4.11.-	COG1363	Aminopeptidase YpdE
Sample_Maccabi_Ecoli_SeqPlate10_A12_00181	CDS	2496	fryA_1		COG1080	Multiphosphoryl transfer protein 1
Sample_Maccabi_Ecoli_SeqPlate10_A12_00182	CDS	858	rhaR_1			HTH-type transcriptional activator RhaR
Sample_Maccabi_Ecoli_SeqPlate10_A12_00183	CDS	738	ypdB		COG3279	Transcriptional regulatory protein YpdB
Sample_Maccabi_Ecoli_SeqPlate10_A12_00184	CDS	1698	ypdA	2.7.13.3	COG3275	Sensor histidine kinase YpdA
Sample_Maccabi_Ecoli_SeqPlate10_A12_00185	CDS	1239	alaC	2.6.1.2	COG0436	Glutamate-pyruvate aminotransferase AlaC
Sample_Maccabi_Ecoli_SeqPlate10_A12_00186	CDS	921	lpxP	2.3.1.242	COG1560	Lipid A biosynthesis palmitoleoyltransferase
Sample_Maccabi_Ecoli_SeqPlate10_A12_00187	CDS	243				hypothetical protein
Sample_Maccabi_Ecoli_SeqPlate10_A12_00188	CDS	276				hypothetical protein
Sample_Maccabi_Ecoli_SeqPlate10_A12_00189	CDS	633	yfdX			Protein YfdX
Sample_Maccabi_Ecoli_SeqPlate10_A12_00190	CDS	1251	frc	2.8.3.16	COG1804	Formyl-CoA:oxalate CoA-transferase
Sample_Maccabi_Ecoli_SeqPlate10_A12_00191	CDS	1695	oxc	4.1.1.8	COG0028	Oxalyl-CoA decarboxylase
Sample_Maccabi_Ecoli_SeqPlate10_A12_00192	CDS	945				hypothetical protein
Sample_Maccabi_Ecoli_SeqPlate10_A12_00193	CDS	1146	yfdE	2.8.3.19	COG1804	Acetyl-CoA:oxalate CoA-transferase
Sample_Maccabi_Ecoli_SeqPlate10_A12_00194	CDS	3594	evgS	2.7.13.3	COG0784	Sensor protein EvgS
Sample_Maccabi_Ecoli_SeqPlate10_A12_00195	CDS	615	evgA			DNA-binding transcriptional activator EvgA
Sample_Maccabi_Ecoli_SeqPlate10_A12_00196	CDS	1164	emrK		COG1566	putative multidrug resistance protein EmrK
Sample_Maccabi_Ecoli_SeqPlate10_A12_00197	CDS	1539	emrY			putative multidrug resistance protein EmrY
Sample_Maccabi_Ecoli_SeqPlate10_A12_00198	CDS	1329	dsdA	4.3.1.18	COG3048	D-serine dehydratase
Sample_Maccabi_Ecoli_SeqPlate10_A12_00199	CDS	1338	dsdX			D-serine transporter DsdX
Sample_Maccabi_Ecoli_SeqPlate10_A12_00200	CDS	936	dsdC		COG0583	HTH-type transcriptional regulator DsdC
Sample_Maccabi_Ecoli_SeqPlate10_A12_00201	tRNA	75				tRNA-Arg(cct)
Sample_Maccabi_Ecoli_SeqPlate10_A12_00202	CDS	933	yfdC		COG2116	Inner membrane protein YfdC
Sample_Maccabi_Ecoli_SeqPlate10_A12_00203	CDS	756	mlaA		COG2853	Intermembrane phospholipid transport system lipoprotein MlaA
Sample_Maccabi_Ecoli_SeqPlate10_A12_00204	CDS	1341	fadL		COG2067	Long-chain fatty acid transport protein
Sample_Maccabi_Ecoli_SeqPlate10_A12_00205	CDS	285				hypothetical protein
Sample_Maccabi_Ecoli_SeqPlate10_A12_00206	CDS	1311	fadI	2.3.1.16	COG0183	3-ketoacyl-CoA thiolase FadI
Sample_Maccabi_Ecoli_SeqPlate10_A12_00207	CDS	2145	fadJ		COG1024	Fatty acid oxidation complex subunit alpha
Sample_Maccabi_Ecoli_SeqPlate10_A12_00208	CDS	486	sixA	3.1.3.-	COG2062	Phosphohistidine phosphatase SixA
Sample_Maccabi_Ecoli_SeqPlate10_A12_00209	CDS	567	yfcV			putative fimbrial-like protein YfcV
Sample_Maccabi_Ecoli_SeqPlate10_A12_00210	CDS	2649	papC_1		COG3188	Outer membrane usher protein PapC
Sample_Maccabi_Ecoli_SeqPlate10_A12_00211	CDS	753	yfcS_1		COG3121	putative fimbrial chaperone YfcS
Sample_Maccabi_Ecoli_SeqPlate10_A12_00212	CDS	504	yfcR			putative fimbrial-like protein YfcR
Sample_Maccabi_Ecoli_SeqPlate10_A12_00213	CDS	480	yfcQ			putative fimbrial-like protein YfcQ
Sample_Maccabi_Ecoli_SeqPlate10_A12_00214	CDS	528	yfcP			putative fimbrial-like protein YfcP
Sample_Maccabi_Ecoli_SeqPlate10_A12_00215	CDS	858	yfcO			putative protein YfcO
Sample_Maccabi_Ecoli_SeqPlate10_A12_00216	CDS	552	mutS2	3.1.-.-		Endonuclease MutS2
Sample_Maccabi_Ecoli_SeqPlate10_A12_00217	CDS	933	prmB	2.1.1.298	COG2890	50S ribosomal protein L3 glutamine methyltransferase
Sample_Maccabi_Ecoli_SeqPlate10_A12_00218	CDS	1086	aroC	4.2.3.5	COG0082	Chorismate synthase
Sample_Maccabi_Ecoli_SeqPlate10_A12_00219	CDS	825	mepA_1	3.4.24.-	COG3770	Penicillin-insensitive murein endopeptidase
Sample_Maccabi_Ecoli_SeqPlate10_A12_00220	CDS	810	yfcA		COG0730	putative membrane transporter protein YfcA
Sample_Maccabi_Ecoli_SeqPlate10_A12_00221	CDS	549	epmC	1.14.-.-	COG3101	Elongation factor P hydroxylase
Sample_Maccabi_Ecoli_SeqPlate10_A12_00222	CDS	279				hypothetical protein
Sample_Maccabi_Ecoli_SeqPlate10_A12_00223	CDS	2007	mnmC		COG0665	tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC
Sample_Maccabi_Ecoli_SeqPlate10_A12_00224	CDS	1221	fabB	2.3.1.41	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 1
Sample_Maccabi_Ecoli_SeqPlate10_A12_00225	CDS	1179	yfcJ			putative MFS-type transporter YfcJ
Sample_Maccabi_Ecoli_SeqPlate10_A12_00226	CDS	996	flk			Flagellar regulator flk
