locus_tag	ftype	length_bp	gene	EC_number	COG	product
Sample_Maccabi_Ecoli_SeqPlate10_A3_00044	CDS	2631	alaS	6.1.1.7	COG0013	Alanine--tRNA ligase
Sample_Maccabi_Ecoli_SeqPlate10_A3_00045	CDS	501	recX		COG2137	Regulatory protein RecX
Sample_Maccabi_Ecoli_SeqPlate10_A3_00046	CDS	1062	UVSX			Recombination and repair protein
Sample_Maccabi_Ecoli_SeqPlate10_A3_00047	CDS	498	pncC_1	3.5.1.42	COG1546	Nicotinamide-nucleotide amidohydrolase PncC
Sample_Maccabi_Ecoli_SeqPlate10_A3_00048	CDS	1191	mltB	4.2.2.-	COG2951	Membrane-bound lytic murein transglycosylase B
Sample_Maccabi_Ecoli_SeqPlate10_A3_00049	CDS	564	srlA		COG3730	PTS system glucitol/sorbitol-specific EIIC component
Sample_Maccabi_Ecoli_SeqPlate10_A3_00050	CDS	960	srlE	2.7.1.198	COG3732	PTS system glucitol/sorbitol-specific EIIB component
Sample_Maccabi_Ecoli_SeqPlate10_A3_00051	CDS	372	srlB		COG3731	PTS system glucitol/sorbitol-specific EIIA component
Sample_Maccabi_Ecoli_SeqPlate10_A3_00052	CDS	780	srlD	1.1.1.140	COG1028	Sorbitol-6-phosphate 2-dehydrogenase
Sample_Maccabi_Ecoli_SeqPlate10_A3_00053	CDS	360				hypothetical protein
Sample_Maccabi_Ecoli_SeqPlate10_A3_00054	CDS	774	srlR_1		COG1349	Glucitol operon repressor
Sample_Maccabi_Ecoli_SeqPlate10_A3_00055	CDS	966	gutQ	5.3.1.13	COG0517	Arabinose 5-phosphate isomerase GutQ
Sample_Maccabi_Ecoli_SeqPlate10_A3_00056	CDS	1515	norR		COG3604	Anaerobic nitric oxide reductase transcription regulator NorR
Sample_Maccabi_Ecoli_SeqPlate10_A3_00057	CDS	1440	norV		COG0426	Anaerobic nitric oxide reductase flavorubredoxin
Sample_Maccabi_Ecoli_SeqPlate10_A3_00058	CDS	1134	norW	1.18.1.-	COG1251	Nitric oxide reductase FlRd-NAD(+) reductase
Sample_Maccabi_Ecoli_SeqPlate10_A3_00059	CDS	2241	hypF	6.2.-.-	COG0068	Carbamoyltransferase HypF
Sample_Maccabi_Ecoli_SeqPlate10_A3_00060	CDS	528	hyfA_1	1.-.-.-	COG1142	Hydrogenase-4 component A
Sample_Maccabi_Ecoli_SeqPlate10_A3_00061	CDS	1014	ascG		COG1609	HTH-type transcriptional regulator AscG
Sample_Maccabi_Ecoli_SeqPlate10_A3_00062	CDS	1458	bglF		COG1263	PTS system beta-glucoside-specific EIIBCA component
Sample_Maccabi_Ecoli_SeqPlate10_A3_00063	CDS	1425	bglH	3.2.1.86	COG2723	Aryl-phospho-beta-D-glucosidase BglH
Sample_Maccabi_Ecoli_SeqPlate10_A3_00064	CDS	471	hycI	3.4.23.51	COG0680	Hydrogenase 3 maturation protease
Sample_Maccabi_Ecoli_SeqPlate10_A3_00065	CDS	411				hypothetical protein
Sample_Maccabi_Ecoli_SeqPlate10_A3_00066	CDS	768	hycG_1		COG3260	Formate hydrogenlyase subunit 7
Sample_Maccabi_Ecoli_SeqPlate10_A3_00067	CDS	543	nqo9	7.1.1.-	COG1143	NADH-quinone oxidoreductase subunit 9
Sample_Maccabi_Ecoli_SeqPlate10_A3_00068	CDS	1710	hycE		COG3261	Formate hydrogenlyase subunit 5
Sample_Maccabi_Ecoli_SeqPlate10_A3_00069	CDS	924	hycD		COG0650	Formate hydrogenlyase subunit 4
Sample_Maccabi_Ecoli_SeqPlate10_A3_00070	CDS	1827	hyfB_1	1.-.-.-	COG0651	Hydrogenase-4 component B
Sample_Maccabi_Ecoli_SeqPlate10_A3_00071	CDS	612	hyfA_2	1.-.-.-	COG1142	Hydrogenase-4 component A
Sample_Maccabi_Ecoli_SeqPlate10_A3_00072	CDS	462	hycA			Formate hydrogenlyase regulatory protein HycA
Sample_Maccabi_Ecoli_SeqPlate10_A3_00073	CDS	351	hypA		COG0375	Hydrogenase maturation factor HypA
Sample_Maccabi_Ecoli_SeqPlate10_A3_00074	CDS	873	hypB		COG0378	Hydrogenase maturation factor HypB
Sample_Maccabi_Ecoli_SeqPlate10_A3_00075	CDS	273	hypC		COG0298	Hydrogenase maturation factor HypC
Sample_Maccabi_Ecoli_SeqPlate10_A3_00076	CDS	1122	hypD		COG0409	Hydrogenase maturation factor HypD
Sample_Maccabi_Ecoli_SeqPlate10_A3_00077	CDS	1011	hypE	4.2.1.-	COG0309	Carbamoyl dehydratase HypE
Sample_Maccabi_Ecoli_SeqPlate10_A3_00078	CDS	2079	fhlA		COG3604	Formate hydrogenlyase transcriptional activator FhlA
Sample_Maccabi_Ecoli_SeqPlate10_A3_00079	CDS	429	mopA		COG2005	Molybdenum-pterin-binding protein MopA
Sample_Maccabi_Ecoli_SeqPlate10_A3_00080	CDS	345				hypothetical protein
Sample_Maccabi_Ecoli_SeqPlate10_A3_00081	CDS	135				hypothetical protein
Sample_Maccabi_Ecoli_SeqPlate10_A3_00082	CDS	2562	mutS		COG0249	DNA mismatch repair protein MutS
Sample_Maccabi_Ecoli_SeqPlate10_A3_00083	CDS	864	esiB_1			Secretory immunoglobulin A-binding protein EsiB
Sample_Maccabi_Ecoli_SeqPlate10_A3_00084	CDS	669		3.1.3.16		Serine/threonine-protein phosphatase
Sample_Maccabi_Ecoli_SeqPlate10_A3_00085	CDS	237	vdcD			Protein VdcD
Sample_Maccabi_Ecoli_SeqPlate10_A3_00086	CDS	1428	edcC	4.1.1.61	COG0043	Phenolic acid decarboxylase
Sample_Maccabi_Ecoli_SeqPlate10_A3_00087	CDS	594	ecdB	2.5.1.129	COG0163	putative UbiX-like flavin prenyltransferase
Sample_Maccabi_Ecoli_SeqPlate10_A3_00088	CDS	408	hosA			Transcriptional regulator HosA
Sample_Maccabi_Ecoli_SeqPlate10_A3_00089	CDS	993	rpoS		COG0568	RNA polymerase sigma factor RpoS
Sample_Maccabi_Ecoli_SeqPlate10_A3_00090	CDS	1140	nlpD_1		COG0739	Murein hydrolase activator NlpD
Sample_Maccabi_Ecoli_SeqPlate10_A3_00091	CDS	627	pcm	2.1.1.77	COG2518	Protein-L-isoaspartate O-methyltransferase
Sample_Maccabi_Ecoli_SeqPlate10_A3_00092	CDS	762	surE	3.1.3.5	COG0496	5'/3'-nucleotidase SurE
Sample_Maccabi_Ecoli_SeqPlate10_A3_00093	CDS	1050	truD	5.4.99.27	COG0585	tRNA pseudouridine synthase D
Sample_Maccabi_Ecoli_SeqPlate10_A3_00094	CDS	480	ispF	4.6.1.12	COG0245	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
Sample_Maccabi_Ecoli_SeqPlate10_A3_00095	CDS	711	ispD	2.7.7.60	COG1211	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
Sample_Maccabi_Ecoli_SeqPlate10_A3_00096	CDS	312	ftsB		COG2919	Cell division protein FtsB
Sample_Maccabi_Ecoli_SeqPlate10_A3_00097	CDS	324	ygbE			Inner membrane protein YgbE
Sample_Maccabi_Ecoli_SeqPlate10_A3_00098	CDS	606	cysC	2.7.1.25	COG0529	Adenylyl-sulfate kinase
Sample_Maccabi_Ecoli_SeqPlate10_A3_00099	CDS	1428	cysN	2.7.7.4	COG2895	Sulfate adenylyltransferase subunit 1
Sample_Maccabi_Ecoli_SeqPlate10_A3_00100	CDS	909	cysD	2.7.7.4	COG0175	Sulfate adenylyltransferase subunit 2
Sample_Maccabi_Ecoli_SeqPlate10_A3_00101	CDS	1038	ywaD	3.4.11.6	COG2234	Aminopeptidase YwaD
	repeat_region	1066				
Sample_Maccabi_Ecoli_SeqPlate10_A3_00102	CDS	294	ygbF	3.1.-.-		CRISPR-associated endoribonuclease Cas2
Sample_Maccabi_Ecoli_SeqPlate10_A3_00103	CDS	600	ygbT	3.1.-.-	COG1518	CRISPR-associated endonuclease Cas1
Sample_Maccabi_Ecoli_SeqPlate10_A3_00104	CDS	651	casE	3.1.-.-		CRISPR system Cascade subunit CasE
Sample_Maccabi_Ecoli_SeqPlate10_A3_00105	CDS	747	casD			CRISPR system Cascade subunit CasD
Sample_Maccabi_Ecoli_SeqPlate10_A3_00106	CDS	1056	casC			CRISPR system Cascade subunit CasC
Sample_Maccabi_Ecoli_SeqPlate10_A3_00107	CDS	537				hypothetical protein
Sample_Maccabi_Ecoli_SeqPlate10_A3_00108	CDS	1563	casA			CRISPR system Cascade subunit CasA
Sample_Maccabi_Ecoli_SeqPlate10_A3_00109	CDS	2700	ygcB	3.1.-.-	COG1203	CRISPR-associated endonuclease/helicase Cas3
Sample_Maccabi_Ecoli_SeqPlate10_A3_00110	CDS	153	hokE			Toxic protein HokE
Sample_Maccabi_Ecoli_SeqPlate10_A3_00111	CDS	735	cysH_1	1.8.4.8	COG0175	Phosphoadenosine phosphosulfate reductase
Sample_Maccabi_Ecoli_SeqPlate10_A3_00112	CDS	1713	cysI	1.8.1.2	COG0155	Sulfite reductase [NADPH] hemoprotein beta-component
Sample_Maccabi_Ecoli_SeqPlate10_A3_00113	CDS	1800	cysJ	1.8.1.2	COG0369	Sulfite reductase [NADPH] flavoprotein alpha-component
Sample_Maccabi_Ecoli_SeqPlate10_A3_00114	CDS	366	queD	4.1.2.50	COG0720	6-carboxy-5,6,7,8-tetrahydropterin synthase
Sample_Maccabi_Ecoli_SeqPlate10_A3_00115	CDS	1272		1.5.5.1	COG0644	Electron transfer flavoprotein-ubiquinone oxidoreductase
Sample_Maccabi_Ecoli_SeqPlate10_A3_00116	CDS	261	fixX_1		COG2440	Ferredoxin-like protein FixX
Sample_Maccabi_Ecoli_SeqPlate10_A3_00117	CDS	576	ygcP		COG1954	putative protein YgcP
Sample_Maccabi_Ecoli_SeqPlate10_A3_00118	CDS	861	etfA		COG2025	Electron transfer flavoprotein subunit alpha
Sample_Maccabi_Ecoli_SeqPlate10_A3_00119	CDS	780	etfB		COG2086	Electron transfer flavoprotein subunit beta
Sample_Maccabi_Ecoli_SeqPlate10_A3_00120	CDS	1410	ygcS_1			Inner membrane metabolite transport protein YgcS
Sample_Maccabi_Ecoli_SeqPlate10_A3_00121	CDS	1455		1.-.-.-	COG0277	putative FAD-linked oxidoreductase
Sample_Maccabi_Ecoli_SeqPlate10_A3_00122	CDS	786	kduD_1	1.1.1.127		2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase
Sample_Maccabi_Ecoli_SeqPlate10_A3_00123	CDS	1278	yqcE			Inner membrane protein YqcE
Sample_Maccabi_Ecoli_SeqPlate10_A3_00124	CDS	1479	lsrK_1	2.7.1.189	COG1070	Autoinducer-2 kinase
	repeat_region	578				
Sample_Maccabi_Ecoli_SeqPlate10_A3_00125	CDS	672	queE	4.3.99.3		7-carboxy-7-deazaguanine synthase
Sample_Maccabi_Ecoli_SeqPlate10_A3_00126	CDS	603	lemA		COG1704	Protein LemA
Sample_Maccabi_Ecoli_SeqPlate10_A3_00127	CDS	894				hypothetical protein
Sample_Maccabi_Ecoli_SeqPlate10_A3_00128	CDS	1149				hypothetical protein
Sample_Maccabi_Ecoli_SeqPlate10_A3_00129	CDS	915				hypothetical protein
Sample_Maccabi_Ecoli_SeqPlate10_A3_00130	CDS	1299	eno	4.2.1.11	COG0148	Enolase
Sample_Maccabi_Ecoli_SeqPlate10_A3_00131	CDS	1638	pyrG	6.3.4.2	COG0504	CTP synthase
Sample_Maccabi_Ecoli_SeqPlate10_A3_00132	CDS	792	mazG	3.6.1.8	COG1694	Nucleoside triphosphate pyrophosphohydrolase
Sample_Maccabi_Ecoli_SeqPlate10_A3_00133	CDS	2235	relA	2.7.6.5	COG0317	GTP pyrophosphokinase
Sample_Maccabi_Ecoli_SeqPlate10_A3_00134	CDS	1302	rlmD	2.1.1.190	COG2265	23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD
Sample_Maccabi_Ecoli_SeqPlate10_A3_00135	CDS	2757	barA	2.7.13.3	COG0784	Signal transduction histidine-protein kinase BarA
Sample_Maccabi_Ecoli_SeqPlate10_A3_00136	CDS	1341	gudD	4.2.1.40	COG4948	Glucarate dehydratase
Sample_Maccabi_Ecoli_SeqPlate10_A3_00137	CDS	1341	gudX	4.2.1.-	COG4948	Glucarate dehydratase-related protein
Sample_Maccabi_Ecoli_SeqPlate10_A3_00138	CDS	1353	gudP			putative glucarate transporter
Sample_Maccabi_Ecoli_SeqPlate10_A3_00139	CDS	450			COG0716	putative protein
Sample_Maccabi_Ecoli_SeqPlate10_A3_00140	CDS	783	truC	5.4.99.26	COG0564	tRNA pseudouridine synthase C
Sample_Maccabi_Ecoli_SeqPlate10_A3_00141	CDS	330	yqcC		COG3098	putative protein YqcC
Sample_Maccabi_Ecoli_SeqPlate10_A3_00142	CDS	546	syd			Protein Syd
Sample_Maccabi_Ecoli_SeqPlate10_A3_00143	CDS	849	queF	1.7.1.13	COG0780	NADPH-dependent 7-cyano-7-deazaguanine reductase
Sample_Maccabi_Ecoli_SeqPlate10_A3_00144	CDS	1365	ppnN	3.2.2.-	COG1611	Pyrimidine/purine nucleotide 5'-monophosphate nucleosidase
Sample_Maccabi_Ecoli_SeqPlate10_A3_00145	CDS	1290	sdaC		COG0814	Serine transporter
Sample_Maccabi_Ecoli_SeqPlate10_A3_00146	CDS	1368	sdaB	4.3.1.17	COG1760	L-serine dehydratase 2
Sample_Maccabi_Ecoli_SeqPlate10_A3_00147	CDS	846		2.7.7.7		DNA polymerase
Sample_Maccabi_Ecoli_SeqPlate10_A3_00148	CDS	1149	fucO	1.1.1.77	COG1454	Lactaldehyde reductase
Sample_Maccabi_Ecoli_SeqPlate10_A3_00149	CDS	648	fucA_1	4.1.2.17	COG0235	L-fuculose phosphate aldolase
Sample_Maccabi_Ecoli_SeqPlate10_A3_00150	CDS	1317	fucP		COG0738	L-fucose-proton symporter
Sample_Maccabi_Ecoli_SeqPlate10_A3_00151	CDS	1776	fucI	5.3.1.25	COG2407	L-fucose isomerase
Sample_Maccabi_Ecoli_SeqPlate10_A3_00152	CDS	1419	fucK	2.7.1.51	COG1070	L-fuculokinase
Sample_Maccabi_Ecoli_SeqPlate10_A3_00153	CDS	423	fucU	5.1.3.29	COG4154	L-fucose mutarotase
Sample_Maccabi_Ecoli_SeqPlate10_A3_00154	CDS	732	ydjF_1		COG1349	putative HTH-type transcriptional regulator YdjF
Sample_Maccabi_Ecoli_SeqPlate10_A3_00155	CDS	1101	rlmM	2.1.1.186	COG2933	Ribosomal RNA large subunit methyltransferase M
Sample_Maccabi_Ecoli_SeqPlate10_A3_00156	CDS	396				hypothetical protein
Sample_Maccabi_Ecoli_SeqPlate10_A3_00157	CDS	918	gcvA_1			Glycine cleavage system transcriptional activator
Sample_Maccabi_Ecoli_SeqPlate10_A3_00158	CDS	228	ygdR_1			putative lipoprotein YgdR
Sample_Maccabi_Ecoli_SeqPlate10_A3_00159	CDS	1206	csdA	2.8.1.7	COG0520	Cysteine desulfurase CsdA
Sample_Maccabi_Ecoli_SeqPlate10_A3_00160	CDS	444	csdE		COG2166	Sulfur acceptor protein CsdE
Sample_Maccabi_Ecoli_SeqPlate10_A3_00161	CDS	807	tcdA	6.1.-.-	COG1179	tRNA threonylcarbamoyladenosine dehydratase
Sample_Maccabi_Ecoli_SeqPlate10_A3_00162	CDS	1098	mltA	4.2.2.-	COG2821	Membrane-bound lytic murein transglycosylase A
Sample_Maccabi_Ecoli_SeqPlate10_A3_00163	tRNA	77				tRNA-Met(cat)
Sample_Maccabi_Ecoli_SeqPlate10_A3_00164	tRNA	77				tRNA-Met(cat)
Sample_Maccabi_Ecoli_SeqPlate10_A3_00165	tRNA	77				tRNA-Met(cat)
Sample_Maccabi_Ecoli_SeqPlate10_A3_00166	CDS	1254	amiC	3.5.1.28	COG0860	N-acetylmuramoyl-L-alanine amidase AmiC
Sample_Maccabi_Ecoli_SeqPlate10_A3_00167	CDS	1332	argA_1	2.3.1.1	COG0548	Amino-acid acetyltransferase
Sample_Maccabi_Ecoli_SeqPlate10_A3_00168	CDS	1827	dda	3.6.4.12		ATP-dependent DNA helicase dda
Sample_Maccabi_Ecoli_SeqPlate10_A3_00169	CDS	3543	recB	3.1.11.5	COG1074	RecBCD enzyme subunit RecB
Sample_Maccabi_Ecoli_SeqPlate10_A3_00170	CDS	2889	ptrA	3.4.24.55	COG1025	Protease 3
Sample_Maccabi_Ecoli_SeqPlate10_A3_00171	CDS	3369	recC	3.1.11.5	COG1330	RecBCD enzyme subunit RecC
Sample_Maccabi_Ecoli_SeqPlate10_A3_00172	CDS	324				hypothetical protein
Sample_Maccabi_Ecoli_SeqPlate10_A3_00173	CDS	408				hypothetical protein
Sample_Maccabi_Ecoli_SeqPlate10_A3_00174	CDS	564				hypothetical protein
Sample_Maccabi_Ecoli_SeqPlate10_A3_00175	CDS	471				hypothetical protein
Sample_Maccabi_Ecoli_SeqPlate10_A3_00176	CDS	795		2.1.1.45		Thymidylate synthase
Sample_Maccabi_Ecoli_SeqPlate10_A3_00177	CDS	876	lgt	2.5.1.145	COG0682	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
Sample_Maccabi_Ecoli_SeqPlate10_A3_00178	CDS	2247	ptsP	2.7.3.9	COG3605	Phosphoenolpyruvate-dependent phosphotransferase system
Sample_Maccabi_Ecoli_SeqPlate10_A3_00179	CDS	531	rppH	3.6.1.-	COG0494	RNA pyrophosphohydrolase
Sample_Maccabi_Ecoli_SeqPlate10_A3_00180	CDS	147				hypothetical protein
Sample_Maccabi_Ecoli_SeqPlate10_A3_00181	CDS	690	mutH		COG3066	DNA mismatch repair protein MutH
Sample_Maccabi_Ecoli_SeqPlate10_A3_00182	CDS	714				hypothetical protein
Sample_Maccabi_Ecoli_SeqPlate10_A3_00183	CDS	219	ygdR_2			putative lipoprotein YgdR
Sample_Maccabi_Ecoli_SeqPlate10_A3_00184	CDS	1041	tas		COG0667	Protein tas
Sample_Maccabi_Ecoli_SeqPlate10_A3_00185	CDS	1194	lplT			Lysophospholipid transporter LplT
Sample_Maccabi_Ecoli_SeqPlate10_A3_00186	CDS	2160	aas		COG0204	Bifunctional protein Aas
Sample_Maccabi_Ecoli_SeqPlate10_A3_00187	CDS	1032	galR		COG1609	HTH-type transcriptional regulator GalR
Sample_Maccabi_Ecoli_SeqPlate10_A3_00188	CDS	1263	lysA	4.1.1.20		Diaminopimelate decarboxylase
Sample_Maccabi_Ecoli_SeqPlate10_A3_00189	CDS	936	occR			Octopine catabolism/uptake operon regulatory protein OccR
Sample_Maccabi_Ecoli_SeqPlate10_A3_00190	CDS	693	ygeA	5.1.1.13		L-aspartate/glutamate-specific racemase
Sample_Maccabi_Ecoli_SeqPlate10_A3_00191	CDS	1419	araE			Arabinose-proton symporter
Sample_Maccabi_Ecoli_SeqPlate10_A3_00192	CDS	762	kduD_2	1.1.1.127		2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase
Sample_Maccabi_Ecoli_SeqPlate10_A3_00193	CDS	837	kduI	5.3.1.17	COG3717	4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase
Sample_Maccabi_Ecoli_SeqPlate10_A3_00194	CDS	1182	thlA	2.3.1.9	COG0183	Acetyl-CoA acetyltransferase
Sample_Maccabi_Ecoli_SeqPlate10_A3_00195	CDS	1230	yqeG		COG0814	Inner membrane transport protein YqeG
Sample_Maccabi_Ecoli_SeqPlate10_A3_00196	CDS	633	ecpR_1			HTH-type transcriptional regulator EcpR
Sample_Maccabi_Ecoli_SeqPlate10_A3_00197	CDS	810				hypothetical protein
Sample_Maccabi_Ecoli_SeqPlate10_A3_00198	CDS	483				hypothetical protein
Sample_Maccabi_Ecoli_SeqPlate10_A3_00199	CDS	141	yqeL			putative protein YqeL
Sample_Maccabi_Ecoli_SeqPlate10_A3_00200	CDS	426				hypothetical protein
Sample_Maccabi_Ecoli_SeqPlate10_A3_00201	CDS	96				hypothetical protein
Sample_Maccabi_Ecoli_SeqPlate10_A3_00202	CDS	492				hypothetical protein
Sample_Maccabi_Ecoli_SeqPlate10_A3_00203	CDS	492	sicA_1		COG0457	Chaperone protein SicA
Sample_Maccabi_Ecoli_SeqPlate10_A3_00204	CDS	1377	hilA_1		COG0457	Transcriptional regulator HilA
Sample_Maccabi_Ecoli_SeqPlate10_A3_00205	CDS	219				hypothetical protein
Sample_Maccabi_Ecoli_SeqPlate10_A3_00206	CDS	504				hypothetical protein
Sample_Maccabi_Ecoli_SeqPlate10_A3_00207	CDS	633	ygeK			putative response regulatory protein YgeK
Sample_Maccabi_Ecoli_SeqPlate10_A3_00208	CDS	708	orgB			Oxygen-regulated invasion protein OrgB
Sample_Maccabi_Ecoli_SeqPlate10_A3_00209	CDS	582	orgA			Oxygen-regulated invasion protein OrgA
Sample_Maccabi_Ecoli_SeqPlate10_A3_00210	CDS	735	prgK		COG4669	Lipoprotein PrgK
Sample_Maccabi_Ecoli_SeqPlate10_A3_00211	CDS	333				hypothetical protein
Sample_Maccabi_Ecoli_SeqPlate10_A3_00212	CDS	240	prgI			Protein PrgI
Sample_Maccabi_Ecoli_SeqPlate10_A3_00213	CDS	1182	prgH			Protein PrgH
Sample_Maccabi_Ecoli_SeqPlate10_A3_00214	CDS	501				hypothetical protein
Sample_Maccabi_Ecoli_SeqPlate10_A3_00215	CDS	294	invH			Type 3 secretion system pilotin
Sample_Maccabi_Ecoli_SeqPlate10_A3_00216	CDS	1113	spaS		COG1377	Surface presentation of antigens protein SpaS
Sample_Maccabi_Ecoli_SeqPlate10_A3_00217	CDS	768	spaR		COG4791	Surface presentation of antigens protein SpaR
Sample_Maccabi_Ecoli_SeqPlate10_A3_00218	CDS	261	spaQ		COG4794	Surface presentation of antigens protein SpaQ
Sample_Maccabi_Ecoli_SeqPlate10_A3_00219	CDS	666	spaP		COG4790	Surface presentation of antigens protein SpaP
Sample_Maccabi_Ecoli_SeqPlate10_A3_00220	CDS	948	spaO		COG1886	Surface presentation of antigens protein SpaO
Sample_Maccabi_Ecoli_SeqPlate10_A3_00221	CDS	876				hypothetical protein
Sample_Maccabi_Ecoli_SeqPlate10_A3_00222	CDS	459				hypothetical protein
Sample_Maccabi_Ecoli_SeqPlate10_A3_00223	CDS	1293	spaL	7.1.2.2	COG1157	putative ATP synthase SpaL
Sample_Maccabi_Ecoli_SeqPlate10_A3_00224	CDS	2061	invA		COG4789	Invasion protein InvA
Sample_Maccabi_Ecoli_SeqPlate10_A3_00225	CDS	1146	mxiC			Protein MxiC
Sample_Maccabi_Ecoli_SeqPlate10_A3_00226	CDS	1704	IV_1			Virion export protein
Sample_Maccabi_Ecoli_SeqPlate10_A3_00227	CDS	750	invF			Invasion protein InvF
